common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Sunset Hibiscus,Abelmoschus manihot,{40},Mesic,{10},Full Sun,{85},8b (15°F to 20°F),https://drive.google.com/open?id=1hxNemzuSs50jRlDj-ruaxvSjkyOrgHm5,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","A paste of the bark is used to treat wounds and cuts, with new paste being applied every 2 - 3 days for about 3 weeks. In Nepal the root juice is warmed and applied to sprains. The juice of the flowers is used to treat chronic bronchitis and toothache.",https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+manihot
Okra,Abelmoschus esculentus,{40},Mesic,{10},Full Sun,{50},5a (-20°F to -15°F),https://drive.google.com/open?id=176M15-HKF5mF_EDcv48iAzKN-3g1nnIJ,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Only the tender unripe fruit is eaten. As a vegetable, okra may be prepared like asparagus, sauteed, or pickled, and it is also an ingredient in various stews and in the gumbos of the southern United States; the large amount of mucilage (gelatinous substance) it contains makes it useful as a thickener for broths and soups. In some countries the seeds are used as a substitute for coffee. The leaves and immature fruit long have been popular in the East for use in poultices to relieve pain.",https://www.britannica.com/plant/okra
Musk Okra / Musk Mallow,Abelmoschus moschatus,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{95},9b (25°F to 30°F) ,https://drive.google.com/open?id=1osSHWSODtloNjWvcRmNUS8oRAr6Wx6bJ,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","It has many culinary uses. The seeds are added to coffee; unripe pods (""musk okra""), leaves and new shoots are eaten as vegetables. Different parts of the plant have uses in Ayurveda herbal medicine, including as an antispasmodic and to treat gonorrhea.",https://en.wikipedia.org/wiki/Abelmoschus_moschatus
Balsam Fir / Cuprona Jewel,Abies balsamea,{40},Mesic,{20},Full Sun to Partial Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=1fq9H9z5iT_dc9u16hNdVPPcQx1nesL_f,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","It is used as a healing and analgesic protective covering for burns, bruises, wounds and sores. It is also used to treat sore nipples and is said to be one of the best curatives for a sore throat. The buds, resin, and/or sap are used in folk remedies for treating cancers, corns, and warts.",http://www.naturalmedicinalherbs.net/herbs/a/abies-balsamea=balsam-fir.php
Caucasian Fir,Abies nordmanniana,{40},Mesic,{20},Full Sun to Partial Shade,{40},4a (-30°F to -25°F),https://drive.google.com/open?id=1tv_o7umBtby1PgpksmsFWmdiT1UhS4XM,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","It is easy to transplant and is one of the easier Abies sp. to grow. Leaves provide winter interest and a great backdrop to other landscape plants. The shoots are often pubescent (hairy). Commonly grown as a commercial Christmas tree, the wood is soft and white and is used for construction or as paper pulp.",https://plants.ces.ncsu.edu/plants/abies-nordmanniana/
Noble Fir,Abies procera,{40},Mesic,{10},Full Sun,{50},5a (-20°F to -15°F),https://drive.google.com/open?id=1Vaxm0kG8WfOfh9O5w80PGN2-jjHC06mE,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",Noble fir brings a substantial price as a Christmas tree. It is also utilized as ornamental greenery ,https://www.fs.fed.us/database/feis/plants/tree/abipro/all.html
Red Sand Verbena,Abronia maritima,"{30,40}","Wet Mesic, Mesic",{10},Full Sun,{100},10a (30°F to 35°F),https://drive.google.com/open?id=1d9q_OX4p3EMtPu9VA8vpUZwVSrCeEB6i,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","The mats are thick and provide shelter for a variety of small beach-dwelling animals. This is a rare plant. Its habitat is located in heavily traveled beach areas, where it is disturbed by human activity.",https://en.wikipedia.org/wiki/Abronia_maritima
Flowering Maple,Abutilon,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{75},7b (5°F to 10°F),https://drive.google.com/open?id=1bI7zVuCOSmLj2mdimP66O5uHu2TZ3h3K,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Indian Mallow,Abutilon indicum,{40},Mesic,{20},Full Sun to Partial Shade,{100},10a (30°F to 35°F),https://drive.google.com/open?id=1yN089hsRSz6ytmuTFNasGsZmv9OTKY42,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","In traditional medicine, A. indicum various parts of the plant are used as a demulcent, aphrodisiac, laxative, diuretic, sedative, astringent, expectorant, tonic, anti-inflammatory, anthelmintic, and analgesic and to treat leprosy, ulcers, headaches, gonorrhea, and bladder infection. The whole plant is uprooted, dried and is powdered. In ancient days, maidens were made to consume a spoonful of this powder with a spoonful of honey, once in a day, for 6 months until the day of marriage, for safe and quick pregnancy.

The plant is very much used in Siddha medicines. The root, bark, flowers, leaves and seeds are all used for medicinal purposes by Tamils.The leaves are used as adjunct to medicines used for pile complaints. The flowers are used to increase semen in men.",https://en.wikipedia.org/wiki/Abutilon_indicum
Flowering Maple / Trailing Abutilon,Abutilon megapotamicum,{40},#REF!,{20},Full Sun to Partial Shade,{90},9a (20°F to 25°F),https://drive.google.com/open?id=1ZyPsbp70eR-eOqHEwEIXa_zBkXK-nNLv,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Flowers - cooked. Used as a vegetable[183]. A pleasant sweet flavour, we find them delicious to eat raw. The flowers are produced from mid spring until the autumn - they produce nectar all the time they are open so, assuming the plant is grown indoors and is not visited by pollinating insects, the sweetness increases the longer the flower is open",https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+megapotamicum
