id,time,lat,lon,h,s,v,alt,az,rad,cc,vis,som,soc
E36A75ABA8-6,1603755473,40.5787036,-87.1160433,22.0696,29.2637266667,133.248816,-9.37,-81.05,3254.33,0.99,9.964,5.9,3.42
E36A75ABA8-10,1603755694,40.5787036,-87.1160433,22.3949706667,26.2231133333,134.951562667,-10.06,-81.63,3039.51,0.99,9.964,5.94,3.45
E36A75ABA8-15,1603755761,40.5787036,-87.1160433,22.5457596424,29.1334928723,123.301904646,-10.27,-81.8,2982.44,0.99,9.964,5.96,3.46
205CD7D9A7-6,1603755980,40.5781910,-87.12278098,18.979802609,21.7341781425,141.150264841,-10.95,-82.37,2819.01,0.99,9.958,5.48,3.19
205CD7D9A7-10,1603756044,40.5781910,-87.12278098,16.1462326346,25.1779876695,143.166304973,-11.16,-82.54,2774.24,0.99,9.958,5.11,2.97
205CD7D9A7-15,1603756120,40.5781910,-87.12278098,17.2790907975,31.3054101124,106.438402197,-11.39,-82.74,2727.88,0.99,9.958,5.26,3.05
680155EBBF-6,1603756954,40.5797657,-87.118913,12.184876,49.6940533333,144.298344,-14.02,-84.94,2337.35,0.99,9.96,4.58,2.66
680155EBBF-10,1603757007,40.5797657,-87.118913,18.734632,17.28348,143.870202667,-14.19,-85.08,2318.95,0.99,9.96,5.45,3.17
680155EBBF-15,1603757047,40.5797657,-87.118913,22.8712871132,14.3964778692,123.413077948,-14.32,-85.19,2305.28,0.99,9.96,6.0,3.49
BCBFC7AE3E-6,1603757418,40.5797657,-87.118913,22.0091614731,18.3559546742,136.868181303,-15.49,-86.17,2195.69,0.99,9.96,5.89,3.42
BCBFC7AE3E-10,1603757462,40.5797657,-87.118913,17.5788739685,15.3308889722,145.156327832,-15.63,-86.28,2184.01,0.99,9.96,5.3,3.08
BCBFC7AE3E-15,1603757505,40.5797657,-87.118913,17.5191702178,16.5033203125,120.571729009,-15.76,-86.4,2173.41,0.99,9.96,5.29,3.07
FBD03D10A,1603758052,40.5797657,-87.118913,25.0168707295,20.1957869199,136.3240186,-17.5,-87.85,2050.76,0.99,9.96,6.29,3.65
FBD03D10A-6,1603758257,40.5797657,-87.118913,22.4774746667,21.687496,137.054218667,-18.14,-88.4,2013.13,0.99,9.96,5.95,3.46
FBD03D10A-10,1603758302,40.5797657,-87.118913,20.0337626667,17.7772053333,142.151188,-18.29,-88.52,2004.8,0.99,9.96,5.62,3.27
FBD03D10A-15,1603758347,40.5797657,-87.118913,19.2488312339,22.7122658555,110.747296117,-18.43,-88.64,1997.17,0.99,9.96,5.52,3.21
D18DB0C3CB-6,1603758739,40.5797657,-87.118913,27.4524946667,17.773812,136.103649333,-19.67,-89.7,1935.55,0.99,9.96,6.61,3.84
D18DB0C3CB-10,1603758775,40.5797657,-87.118913,21.9206016504,17.2191687922,140.111957239,-19.78,-89.79,1930.55,0.99,9.96,5.88,3.41
D18DB0C3CB-15,1603758808,40.5797657,-87.118913,21.2398808502,19.5927601353,118.034381784,-19.89,-89.88,1925.62,0.99,9.96,5.78,3.36
6DC7B8DC33-6,1603759288,40.5892679,-87.1206419,41.7996733333,9.79949466667,138.357109333,-21.41,-91.19,1863.87,0.99,9.952,8.52,4.95
6DC7B8DC33-10,1603759335,40.5892679,-87.1206419,29.600636,11.0520813333,137.252248,-21.56,-91.32,1858.36,0.99,9.952,6.9,4.01
6DC7B8DC33-15,1603759441,40.5892679,-87.1206419,9.91525571003,46.5526067527,94.9800148957,-21.89,-91.61,1846.57,0.99,9.952,4.28,2.49
6DC7B8DC33-15,1603759765,40.5892679,-87.1206419,10.7511555825,46.3821103699,93.9692001887,-22.92,-92.5,1812.43,0.99,9.952,4.39,2.55
FDC6792586-6,1603760188,40.5818125,-87.1212193,25.6519946667,15.8236573333,142.177569333,-24.26,-93.68,1773.28,0.99,9.957,6.37,3.7
FDC6792586-10,1603760240,40.5818125,-87.1212193,24.0610066667,15.656608,141.229857333,-24.42,-93.82,1768.95,0.99,9.957,6.16,3.58
FDC6792586-15,1603760299,40.5818125,-87.1212193,26.2652946332,24.4344147272,111.098723182,-24.61,-93.99,1763.9,0.99,9.957,6.45,3.75
DB9DCD5C4-6,1603760916,40.5841580,-87.1308806,21.1808186667,18.2129213333,142.359606667,-26.55,-95.73,1717.35,0.99,9.947,5.78,3.36
DB9DCD5C4-10,1603760957,40.5841580,-87.1308806,17.1986866667,23.0613586667,144.982341333,-26.67,-95.85,1714.73,0.99,9.947,5.25,3.05
DB9DCD5C4-15,1603761011,40.5841580,-87.1308806,18.1436424242,20.583769697,120.569333333,-26.84,-96.01,1711.08,0.99,9.947,5.37,3.12
439BB3E8CE-6,1603761868,40.5832655,-87.1224313,62.3354226667,24.8511653333,132.307378667,-29.54,-98.52,1659.82,0.99,9.955,10,5.8
439BB3E8CE-10,1603761914,40.5832655,-87.1224313,55.4751133333,21.699132,134.12168,-29.69,-98.65,1657.3,0.99,9.955,10,5.8
439BB3E8CE-15,1603761952,40.5832655,-87.1224313,12.7244266473,62.1166130813,112.70671137,-29.81,-98.76,1655.3,0.99,9.955,4.65,2.7
44C0D3BFCA-6,1603762469,40.5805146,-87.1236165,14.8812693333,32.9123293333,135.240341333,-31.42,-100.32,1630.31,0.99,9.956,4.94,2.87
44C0D3BFCA-10,1603762520,40.5805146,-87.1236165,35.4678546667,14.1144786667,136.091752,-31.58,-100.48,1628.0,0.99,9.959,7.68,4.46
44C0D3BFCA-15,1603762571,40.5805146,-87.1236165,19.029425033,38.6942048258,94.6920747375,-31.74,-100.63,1625.71,0.99,9.959,5.49,3.19
28D11F9DF3-6,1603762950,40.5791060,-87.1223481,35.2688826667,18.4632773333,133.111393333,-32.91,-101.81,1609.78,0.99,9.961,7.65,4.44
28D11F9DF3-10,1603762993,40.5791060,-87.1223481,36.5628133333,14.7187173333,130.888566667,-33.05,-101.94,1607.97,0.99,9.961,7.82,4.54
28D11F9DF3-15,1603763037,40.5791060,-87.1223481,30.2650897767,20.6818834338,105.651311866,-33.19,-102.08,1606.17,0.99,9.961,6.99,4.06
5F6DD3B2EC-6,1603763537,40.5791060,-87.1223481,50.9129706667,18.9557613333,129.361136,-34.73,-103.67,1587.56,0.99,9.961,9.73,5.65
5F6DD3B2EC-10,1603763576,40.5791060,-87.1223481,49.4633333333,14.7088013333,131.816457333,-34.85,-103.8,1586.2,0.99,9.961,9.54,5.54
5F6DD3B2EC-15,1603763643,40.5791060,-87.1223481,12.6500715194,73.4646707459,108.324870206,-35.05,-104.01,1583.94,0.99,9.961,4.64,2.7
5F6DD3B2EC-15,1603764461,40.5791060,-87.1223481,12.3357400895,73.2276666475,111.258349186,-37.55,-106.73,1558.21,0.99,9.961,4.6,2.67
9BA007C6FD-6,1603764714,40.5791060,-87.1223481,29.218892,19.5321613333,135.565908,-38.32,-107.6,1551.1,0.99,9.961,6.85,3.98
9BA007C6FD-10,1603764747,40.5791060,-87.1223481,28.21328,18.4423946667,135.538054667,-38.42,-107.72,1550.2,0.99,9.961,6.71,3.9
9BA007C6FD-15,1603764791,40.5791060,-87.1223481,22.7912278222,24.8493938644,106.787790698,-38.55,-107.87,1549.04,0.99,9.961,5.99,3.48
694287F451-6,1603765890,40.5791060,-87.1223481,49.6446133333,16.251532,133.695078667,-41.83,-111.85,1522.7,0.99,9.961,9.56,5.55
694287F451-10,1603765945,40.5791060,-87.1223481,41.6677493333,16.8251586667,133.725125333,-41.99,-112.05,1521.54,0.99,9.961,8.5,4.94
694287F451-15,1603766006,40.5791060,-87.1223481,11.671356629,64.238725591,103.227714971,-42.16,-112.28,1520.33,0.99,9.961,4.51,2.62
1DA94414AC-6,1603766363,40.5782030,-87.123679,24.7851,16.9054013333,133.508497333,-43.21,-113.65,1513.08,0.99,9.96,6.26,3.63
1DA94414AC-10,1603766403,40.5782030,-87.123679,33.8130173333,16.657848,129.852656,-43.32,-113.81,1512.34,0.99,9.96,7.46,4.33
1DA94414AC-15,1603766507,40.5782030,-87.123679,20.2074723277,27.4681462045,101.169124149,-43.62,-114.22,1510.37,0.99,9.96,5.65,3.28
5F60848121-6,1603766933,40.5782030,-87.123679,27.4287093333,11.74824,134.001836,-44.84,-115.93,1502.66,0.99,9.96,6.61,3.84
5F60848121-10,1603766963,40.5782030,-87.123679,28.47016,13.9759186667,124.84762,-44.93,-116.05,1502.12,0.99,9.96,6.75,3.92
5F60848121-10,1603767036,40.5782030,-87.123679,24.9009483838,21.8339693849,106.116900102,-45.14,-116.35,1500.85,0.99,9.96,6.27,3.64
597C56B67B-6,1603767420,40.5782030,-87.123679,20.3864106667,25.5100133333,126.764293333,-46.22,-117.96,1494.57,0.99,9.96,5.67,3.29
597C56B67B-10,1603767447,40.5782030,-87.123679,19.5046106667,21.6919013333,131.315545333,-46.3,-118.07,1494.11,0.99,9.96,5.55,3.23
597C56B67B-15,1603767490,40.5782030,-87.123679,19.9430774214,26.0822416586,106.379805637,-46.42,-118.25,1493.44,0.99,9.96,5.61,3.26
C0CD766EEC-6,1603767941,40.5782030,-87.123679,23.683903976,19.1514688672,132.204369092,-47.66,-120.23,1486.75,0.99,9.96,6.11,3.55
C0CD766EEC-10,1603767972,40.5782030,-87.123679,33.2746406602,15.0716864216,132.059315079,-47.75,-120.36,1486.28,0.99,9.96,7.39,4.29
C0CD766EEC-15,1603768012,40.5782030,-87.123679,21.3102878842,24.1173077945,101.609580334,-47.86,-120.54,1485.71,0.99,9.96,5.79,3.37
24E6F3507C-6,1603768543,40.5784413,-87.1252728,20.098476,27.554704,135.328633333,-49.29,-122.98,1478.61,0.99,9.959,5.63,3.27
24E6F3507C-10,1603768587,40.5784413,-87.1252728,18.452924,28.473308,141.003333333,-49.4,-123.19,1478.09,0.99,9.959,5.41,3.14
24E6F3507C-15,1603768636,40.5784413,-87.1252728,10.5878599943,39.9125962361,87.2635942401,-49.53,-123.42,1477.47,0.99,9.959,4.37,2.54
13696615FB-6,1603769006,40.5791961,-87.1264224,18.867072,29.3078613333,138.550858667,-50.5,-125.21,1473.02,0.99,9.957,5.47,3.18
13696615FB-10,1603769061,40.5791961,-87.1264224,17.8051746667,26.629744,141.19878,-50.64,-125.48,1472.39,0.99,9.957,5.33,3.09
13696615FB-15,1603769103,40.5791961,-87.1264224,13.412012987,44.9745320856,92.8054717341,-50.75,-125.69,1471.91,0.99,9.957,4.74,2.76
F4C9AC3E23-6,1603769413,40.5794627,-87.1277293,17.2109,24.8831786667,142.6248,-51.54,-127.25,1468.49,0.99,9.956,5.25,3.05
F4C9AC3E23-10,1603769449,40.5794627,-87.1277293,22.2494933333,12.1262053333,147.141270667,-51.63,-127.43,1468.11,0.99,9.956,5.92,3.44
F4C9AC3E23-15,1603769495,40.5794627,-87.1277293,13.9835296205,35.1023842793,97.6679308892,-51.75,-127.67,1467.6,0.99,9.956,4.82,2.8
54558CBA52-6,1603770197,40.5803685,-86.1265146,18.638652,27.9557666667,137.397810667,-54.03,-132.77,1458.59,0.97,10,5.44,3.16
54558CBA52-10,1603770230,40.5803685,-86.1265146,17.5455933333,23.0711333333,140.603889333,-54.1,-132.96,1458.33,0.97,10,5.29,3.07
54558CBA52-15,1603770262,40.5803685,-86.1265146,16.6809380435,32.9861962787,104.856624157,-54.18,-133.14,1458.03,0.97,10,5.18,3.01
BE18BABA31-6,1603770590,40.5824068,-87.1349559,25.3209866667,22.6833706667,129.710853333,-54.37,-133.63,1457.34,0.99,9.948,6.33,3.67
BE18BABA31-18,1603770620,40.5824068,-87.1349559,28.5114973333,14.434732,134.986424,-54.44,-133.81,1457.08,0.99,9.948,6.75,3.92
BE18BABA31-15,1603770658,40.5824068,-87.1349559,16.3259692308,34.4020478632,107.263577778,-54.53,-134.02,1456.75,0.99,9.948,5.13,2.98
88CA6716BF-6,1603770998,40.5824068,-87.1249559,24.1604133333,20.34798,141.338885333,-55.3,-136.05,1454.02,0.99,9.956,6.17,3.59
88CA6716BF-10,1603771029,40.5824068,-87.1249559,31.1916866667,17.650624,133.631629333,-55.36,-136.23,1453.81,0.99,9.956,7.11,4.13
88CA6716BF-15,1603771081,40.5824068,-87.1249559,13.1158325296,80.0391883685,108.801325331,-55.48,-136.54,1453.39,0.99,9.956,4.7,2.73
8777377CF5-6,1603771366,40.5824069,-87.1249559,22.2457226667,23.5746826667,135.953393333,-56.09,-138.29,1451.32,0.95,10,5.92,3.44
8777377CF5-10,1603771396,40.5824069,-87.1249559,23.2575186667,20.9718586667,134.468076,-56.15,-138.48,1451.12,0.95,10,6.05,3.52
8777377CF5-15,1603771445,40.5824069,-87.1249559,13.2594425997,57.9844695883,106.034941718,-56.25,-138.78,1450.79,0.95,10,4.72,2.74
C5C28B9C38-6,1603771693,40.5824068,-87.1249559,31.845196,22.364316,133.594813333,-56.76,-140.36,1449.12,0.93,10,7.2,4.18
C5C28B9C38-10,1603771726,40.5824068,-87.1249559,27.7663586667,19.072216,139.580844,-56.83,-140.57,1448.89,0.93,10,6.65,3.86
